instance_id,workload,seed,adapter,variant,adapter_version,backend_mode,run_status,error_category,capability_absent_observed,correctness_included,transaction_state,partial_update_rate,invalid_commit_rate,stale_write_rate,repair_recall,leak_rate,supersession_consistency,scope_bypass_rate,latency,latency_ms,any_violation,violations,committed_count,operation_count,repair_count
provenance_chain_repair_seed_7,provenance_chain_repair,7,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,invalidated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.142448,1,provenance_closure_violation,0,1,0
provenance_chain_repair_seed_8,provenance_chain_repair,8,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,invalidated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.151289,1,provenance_closure_violation,0,1,0
provenance_chain_repair_seed_9,provenance_chain_repair,9,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,invalidated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.141103,1,provenance_closure_violation,0,1,0
provenance_branch_repair_seed_0,provenance_branch_repair,0,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,invalidated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.149077,1,provenance_closure_violation,0,1,0
provenance_branch_repair_seed_1,provenance_branch_repair,1,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,invalidated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.144161,1,provenance_closure_violation,0,1,0
provenance_branch_repair_seed_2,provenance_branch_repair,2,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,invalidated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.140705,1,provenance_closure_violation,0,1,0
provenance_branch_repair_seed_3,provenance_branch_repair,3,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,invalidated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.141483,1,provenance_closure_violation,0,1,0
provenance_branch_repair_seed_4,provenance_branch_repair,4,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,invalidated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.145351,1,provenance_closure_violation,0,1,0
provenance_branch_repair_seed_5,provenance_branch_repair,5,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,invalidated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.142418,1,provenance_closure_violation,0,1,0
provenance_branch_repair_seed_6,provenance_branch_repair,6,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,invalidated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.142402,1,provenance_closure_violation,0,1,0
provenance_branch_repair_seed_7,provenance_branch_repair,7,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,invalidated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.140293,1,provenance_closure_violation,0,1,0
provenance_branch_repair_seed_8,provenance_branch_repair,8,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,invalidated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.140116,1,provenance_closure_violation,0,1,0
provenance_branch_repair_seed_9,provenance_branch_repair,9,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,invalidated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.141493,1,provenance_closure_violation,0,1,0
mixed_stress_seed_0,mixed_stress,0,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,partial_commit,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.146052,1,atomicity_violation;stale_write_violation,2,6,0
mixed_stress_seed_1,mixed_stress,1,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,partial_commit,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.140733,1,atomicity_violation;stale_write_violation,2,6,0
mixed_stress_seed_2,mixed_stress,2,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,partial_commit,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.139093,1,atomicity_violation;stale_write_violation,2,6,0
mixed_stress_seed_3,mixed_stress,3,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,partial_commit,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.136973,1,atomicity_violation;stale_write_violation,2,6,0
mixed_stress_seed_4,mixed_stress,4,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,partial_commit,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.138503,1,atomicity_violation;stale_write_violation,2,6,0
