instance_id,workload,seed,variant,transaction_state,partial_update_rate,invalid_commit_rate,stale_write_rate,repair_recall,any_violation,violations,committed_count,operation_count,repair_count
provenance_chain_repair_seed_5,provenance_chain_repair,5,Naive,invalidated,0.0,0.0,0.0,0.0,1,provenance_closure_violation,0,1,0
provenance_chain_repair_seed_5,provenance_chain_repair,5,TxnMem-NoTxn,repaired,0.0,0.0,0.0,1.0,0,,0,1,2
provenance_chain_repair_seed_5,provenance_chain_repair,5,TxnMem-NoPolicyCommit,repaired,0.0,0.0,0.0,1.0,0,,0,1,2
provenance_chain_repair_seed_5,provenance_chain_repair,5,TxnMem-NoRepair,invalidated,0.0,0.0,0.0,0.0,1,provenance_closure_violation,0,1,0
provenance_chain_repair_seed_5,provenance_chain_repair,5,TxnMem,repaired,0.0,0.0,0.0,1.0,0,,0,1,2
provenance_chain_repair_seed_6,provenance_chain_repair,6,Naive,invalidated,0.0,0.0,0.0,0.0,1,provenance_closure_violation,0,1,0
provenance_chain_repair_seed_6,provenance_chain_repair,6,TxnMem-NoTxn,repaired,0.0,0.0,0.0,1.0,0,,0,1,2
provenance_chain_repair_seed_6,provenance_chain_repair,6,TxnMem-NoPolicyCommit,repaired,0.0,0.0,0.0,1.0,0,,0,1,2
provenance_chain_repair_seed_6,provenance_chain_repair,6,TxnMem-NoRepair,invalidated,0.0,0.0,0.0,0.0,1,provenance_closure_violation,0,1,0
provenance_chain_repair_seed_6,provenance_chain_repair,6,TxnMem,repaired,0.0,0.0,0.0,1.0,0,,0,1,2
provenance_chain_repair_seed_7,provenance_chain_repair,7,Naive,invalidated,0.0,0.0,0.0,0.0,1,provenance_closure_violation,0,1,0
provenance_chain_repair_seed_7,provenance_chain_repair,7,TxnMem-NoTxn,repaired,0.0,0.0,0.0,1.0,0,,0,1,2
provenance_chain_repair_seed_7,provenance_chain_repair,7,TxnMem-NoPolicyCommit,repaired,0.0,0.0,0.0,1.0,0,,0,1,2
provenance_chain_repair_seed_7,provenance_chain_repair,7,TxnMem-NoRepair,invalidated,0.0,0.0,0.0,0.0,1,provenance_closure_violation,0,1,0
provenance_chain_repair_seed_7,provenance_chain_repair,7,TxnMem,repaired,0.0,0.0,0.0,1.0,0,,0,1,2
provenance_chain_repair_seed_8,provenance_chain_repair,8,Naive,invalidated,0.0,0.0,0.0,0.0,1,provenance_closure_violation,0,1,0
provenance_chain_repair_seed_8,provenance_chain_repair,8,TxnMem-NoTxn,repaired,0.0,0.0,0.0,1.0,0,,0,1,2
provenance_chain_repair_seed_8,provenance_chain_repair,8,TxnMem-NoPolicyCommit,repaired,0.0,0.0,0.0,1.0,0,,0,1,2
provenance_chain_repair_seed_8,provenance_chain_repair,8,TxnMem-NoRepair,invalidated,0.0,0.0,0.0,0.0,1,provenance_closure_violation,0,1,0
provenance_chain_repair_seed_8,provenance_chain_repair,8,TxnMem,repaired,0.0,0.0,0.0,1.0,0,,0,1,2
provenance_chain_repair_seed_9,provenance_chain_repair,9,Naive,invalidated,0.0,0.0,0.0,0.0,1,provenance_closure_violation,0,1,0
provenance_chain_repair_seed_9,provenance_chain_repair,9,TxnMem-NoTxn,repaired,0.0,0.0,0.0,1.0,0,,0,1,2
provenance_chain_repair_seed_9,provenance_chain_repair,9,TxnMem-NoPolicyCommit,repaired,0.0,0.0,0.0,1.0,0,,0,1,2
provenance_chain_repair_seed_9,provenance_chain_repair,9,TxnMem-NoRepair,invalidated,0.0,0.0,0.0,0.0,1,provenance_closure_violation,0,1,0
provenance_chain_repair_seed_9,provenance_chain_repair,9,TxnMem,repaired,0.0,0.0,0.0,1.0,0,,0,1,2
